customer_id,first_name,last_name,region,segment,age_band,annual_income_band,credit_tier,digital_engagement_score,customer_since
CUST00001,Jamie,Johnson,Northeast,Mass Affluent,30-39,<75K,Near Prime,94,2024-10-08
CUST00002,Avery,Adams,Northeast,Borrower,18-29,75K-125K,Prime,89,2025-03-08
CUST00003,Harper,Singh,West,Mass Affluent,30-39,250K+,Near Prime,60,2025-07-28
CUST00004,Morgan,Kim,Northeast,Emerging Affluent,30-39,75K-125K,Super Prime,38,2025-03-08
CUST00005,Parker,Patel,Northeast,Rate Shopper,65+,125K-250K,Prime,83,2024-04-09
CUST00006,Blake,Lopez,West,Mass Affluent,65+,125K-250K,Near Prime,49,2025-01-22
CUST00007,Kendall,Chen,Northeast,Mass Affluent,30-39,<75K,Super Prime,60,2024-08-21
CUST00008,Parker,Patel,Southwest,Digital Native,30-39,125K-250K,Near Prime,34,2024-06-15
CUST00009,Jamie,Garcia,West,Emerging Affluent,50-64,250K+,Super Prime,96,2025-06-30
CUST00010,Jamie,Baker,Southeast,Digital Native,40-49,250K+,Super Prime,33,2024-02-27
CUST00011,Harper,Wilson,Southeast,Borrower,50-64,250K+,Prime,58,2024-11-18
CUST00012,Jordan,Singh,Southeast,Emerging Affluent,65+,250K+,Super Prime,53,2025-07-28
CUST00013,Blake,Baker,Southeast,Borrower,18-29,75K-125K,Near Prime,45,2025-05-20
CUST00014,Quinn,Rivera,Southwest,Borrower,65+,250K+,Near Prime,57,2024-03-06
CUST00015,Jordan,Miller,West,Mass Affluent,18-29,125K-250K,Super Prime,45,2024-04-27
CUST00016,Emerson,Diaz,Southwest,Mass Affluent,40-49,75K-125K,Prime,72,2024-09-26
CUST00017,Alex,Miller,Southeast,Borrower,50-64,<75K,Prime,71,2025-06-27
CUST00018,Jamie,Chen,Midwest,Emerging Affluent,18-29,250K+,Prime,93,2024-02-29
CUST00019,Emerson,Kim,Southeast,Emerging Affluent,65+,250K+,Prime,94,2025-05-01
CUST00020,Parker,Smith,Southeast,Digital Native,65+,250K+,Prime,56,2025-02-12
CUST00021,Alex,Johnson,Southeast,Mass Affluent,65+,75K-125K,Prime,34,2024-12-12
CUST00022,Avery,Miller,Northeast,Emerging Affluent,18-29,75K-125K,Super Prime,87,2024-03-10
CUST00023,Taylor,Johnson,Southeast,Borrower,50-64,250K+,Prime,37,2024-05-15
CUST00024,Reese,Singh,Northeast,Rate Shopper,50-64,<75K,Near Prime,37,2024-12-28
CUST00025,Casey,Johnson,Northeast,Rate Shopper,30-39,75K-125K,Near Prime,82,2024-12-13
CUST00026,Jordan,Smith,Southeast,Rate Shopper,30-39,<75K,Super Prime,95,2024-07-06
CUST00027,Alex,Chen,Northeast,Mass Affluent,30-39,75K-125K,Super Prime,87,2025-07-07
CUST00028,Avery,Garcia,Southwest,Emerging Affluent,50-64,<75K,Super Prime,58,2025-02-14
CUST00029,Taylor,Evans,Southwest,Digital Native,30-39,125K-250K,Prime,32,2025-03-09
CUST00030,Morgan,Baker,West,Borrower,18-29,250K+,Near Prime,92,2024-03-03
CUST00031,Blake,Garcia,Southeast,Mass Affluent,18-29,<75K,Near Prime,55,2025-06-04
CUST00032,Jamie,Baker,Southwest,Mass Affluent,65+,<75K,Super Prime,99,2025-08-06
CUST00033,Jordan,Hill,West,Borrower,40-49,75K-125K,Super Prime,75,2024-11-19
CUST00034,Morgan,Chen,Southeast,Digital Native,18-29,250K+,Near Prime,97,2025-04-13
CUST00035,Harper,Kim,Northeast,Mass Affluent,30-39,125K-250K,Prime,56,2025-07-04
CUST00036,Riley,Lopez,Midwest,Digital Native,65+,<75K,Near Prime,95,2024-06-10
CUST00037,Jordan,Diaz,Midwest,Mass Affluent,18-29,75K-125K,Super Prime,61,2024-05-17
CUST00038,Harper,Kim,West,Emerging Affluent,65+,250K+,Super Prime,31,2024-12-17
CUST00039,Avery,Adams,Northeast,Rate Shopper,40-49,75K-125K,Near Prime,58,2024-10-10
CUST00040,Reese,Adams,Southeast,Rate Shopper,18-29,<75K,Near Prime,44,2025-07-18
CUST00041,Devon,Singh,West,Mass Affluent,30-39,<75K,Super Prime,71,2025-01-13
CUST00042,Jamie,Diaz,Northeast,Digital Native,40-49,250K+,Near Prime,44,2024-08-03
CUST00043,Reese,Adams,Southeast,Emerging Affluent,30-39,125K-250K,Super Prime,56,2024-06-30
CUST00044,Quinn,Baker,Midwest,Emerging Affluent,50-64,75K-125K,Prime,83,2024-04-20
CUST00045,Jamie,Adams,Midwest,Digital Native,30-39,250K+,Super Prime,60,2024-08-21
CUST00046,Quinn,Miller,Northeast,Digital Native,18-29,<75K,Super Prime,47,2024-12-25
CUST00047,Casey,Singh,West,Digital Native,40-49,125K-250K,Super Prime,90,2024-02-09
CUST00048,Harper,Kim,Northeast,Rate Shopper,18-29,250K+,Prime,91,2025-08-13
CUST00049,Reese,Chen,West,Emerging Affluent,40-49,125K-250K,Near Prime,40,2025-01-07
CUST00050,Reese,Miller,Midwest,Borrower,50-64,125K-250K,Near Prime,41,2024-11-12
CUST00051,Emerson,Lopez,Southeast,Rate Shopper,50-64,<75K,Super Prime,61,2025-01-23
CUST00052,Morgan,Smith,Southeast,Rate Shopper,50-64,250K+,Near Prime,52,2025-08-16
CUST00053,Blake,Lopez,West,Rate Shopper,65+,125K-250K,Prime,55,2024-06-22
CUST00054,Devon,Adams,Midwest,Emerging Affluent,18-29,75K-125K,Super Prime,34,2024-07-22
CUST00055,Harper,Rivera,Southwest,Rate Shopper,50-64,250K+,Prime,43,2025-08-12
CUST00056,Jamie,Garcia,Northeast,Mass Affluent,65+,250K+,Prime,96,2025-03-11
CUST00057,Devon,Smith,Southeast,Mass Affluent,65+,125K-250K,Super Prime,89,2025-04-12
CUST00058,Emerson,Wilson,Southwest,Borrower,50-64,125K-250K,Prime,60,2025-04-01
CUST00059,Jordan,Smith,West,Rate Shopper,18-29,125K-250K,Prime,59,2024-09-01
CUST00060,Blake,Evans,Midwest,Digital Native,30-39,75K-125K,Super Prime,44,2025-07-07
